Installs,weights
10000,1
500000,1
5000000,1
50000000,1
100000,1
50000,1
50000,1
1000000,1
1000000,1
10000,1
1000000,1
1000000,1
10000000,1
100000,1
100000,1
5000,1
500000,1
10000,1
5000000,1
10000000,1
100000,1
100000,1
500000,1
100000,1
50000,1
10000,1
500000,1
100000,1
10000,1
100000,1
100000,1
50000,1
100000,1
100000,1
10000,1
100000,1
500000,1
5000000,1
10000,1
500000,1
10000,1
100000,1
10000000,1
100000,1
10000,1
10000000,1
100000,1
100000,1
100000,1
100000,1
1000000,1
100000,1
1000000,1
100000,1
100000,1
100000,1
50000,1
100000,1
100000,1
100000,1
10000,1
100000,1
1000000,1
100000,1
100000,1
10000,1
50000,1
5000000,1
100000,1
5000000,1
5000000,1
500000,1
10000000,1
100000,1
500000,1
50000,1
100000,1
1000000,1
100000,1
1000000,1
50000,1
1000000,1
500000,1
100000,1
1000000,1
1000000,1
100000,1
100000,1
1000000,1
100000,1
100000,1
1000000,1
1000000,1
1000000,1
1000000,1
500000,1
500000,1
100000,1
500000,1
1000000,1
100000,1
500000,1
1000000,1
500000,1
100000,1
1000000,1
50000,1
1000000,1
10000,1
1000000,1
100000,1
10000,1
50000,1
100000,1
10000,1
10000,1
10000,1
10000000,1
500000,1
1000000,1
50000,1
10000,1
1000000,1
50000,1
500000,1
500000,1
100000,1
10000,1
5000,1
10000,1
10000,1
100000,1
5000,1
100000,1
10000,1
10000,1
1000000,1
50000,1
10000,1
100000000,1
50000,1
100000,1
10000000,1
100000000,1
10000000,1
10000000,1
10000000,1
100000,1
1000000,1
10000000,1
500000,1
1000000,1
1000000000,1
5000000,1
100000,1
10000000,1
500000,1
10000000,1
1000000,1
1000000,1
500000,1
1000000,1
500000,1
10000,1
5000000,1
100000,1
5000000,1
500000,1
1000000,1
500000,1
500000,1
1000000,1
5000000,1
10000000,1
100000,1
100000,1
100000,1
50000,1
500000,1
10000000,1
50000,1
1000000,1
1000000,1
1000000,1
500000,1
100000,1
10000000,1
10000000,1
50000000,1
10000000,1
5000000,1
1000000,1
50000000,1
5000000,1
100000000,1
1000000,1
1000000,1
500000,1
10000000,1
5000000,1
1000000,1
50000000,1
10000000,1
1000000,1
10000000,1
5000000,1
5000000,1
5000000,1
5000000,1
100000,1
1000000,1
1000000,1
1000000,1
10000000,1
5000000,1
1000000,1
5000000,1
100000,1
10000000,1
1000000,1
1000000,1
100000,1
5000000,1
1000000,1
100000,1
50000000,1
5000000,1
100000,1
1000000,1
5000000,1
1000000,1
10000000,1
10000000,1
1000000,1
100000,1
100000,1
10000000,1
50000,1
5000000,1
5000000,1
5000000,1
100000,1
100000,1
1000000,1
500000,1
100000,1
500000,1
500000,1
1000000,1
1000000,1
1000000,1
100000,1
100000,1
1000000,1
1000000,1
10000000,1
10000000,1
100000,1
100000,1
5000000,1
50000,1
1000000,1
1000000,1
500000,1
10000000,1
10000000,1
50000,1
5000000,1
5000000,1
5000000,1
100000,1
100000,1
1000000,1
500000,1
100000,1
500000,1
500000,1
1000000,1
1000000,1
1000000,1
100000,1
100000,1
